112499,29/09/1995,The Big Green,Holly Goldberg Sloan,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Chauncey Leopardi,Patrick Renna,Billy L. Sullivan,Yareli Arizmendi,Bug Hall,Jessica Robertson,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Chauncey Leopardi,Patrick Renna,Billy L. Sullivan,Yareli Arizmendi,Bug Hall,Jessica Robertson
113158,19/05/1995,Georgia,Ulu Grosbard,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe,John C. Reilly,Jimmy Witherspoon,Jason Carter,Tom Bower,Smokey Hormel,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe,John C. Reilly,Jimmy Witherspoon,Jason Carter,Tom Bower,Smokey Hormel
113541,08/07/1997,Kids of the Round Table,Robert Tinnell,Johnny Morina,Maggie Castle,Christopher Olscamp,Justin Borntraeger,Billy Coyle,Jeoffrey Graves,Malcolm McDowell,Peter Aykroyd,Mélany Goudreau,James Rae,Johnny Morina,Maggie Castle,Christopher Olscamp,Justin Borntraeger,Billy Coyle,Jeoffrey Graves,Malcolm McDowell,Peter Aykroyd,Mélany Goudreau,James Rae
113321,02/11/1995,Home for the Holidays,Jodie Foster,Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,Cynthia Stevenson,Claire Danes,Emily Ann Lloyd,Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,Cynthia Stevenson,Claire Danes,Emily Ann Lloyd
110877,22/09/1994,The Postman,Michael Radford,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti,Sergio Solli,Carlo Di Maio,Nando Neri,Vincenzo Di Sauro,Orazio Stracuzzi,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti,Sergio Solli,Carlo Di Maio,Nando Neri,Vincenzo Di Sauro,Orazio Stracuzzi
112714,29/09/1995,The Confessional,Robert Lepage,Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Kristin Scott Thomas,Ron Burrage,Richard Fréchette,François Papineau,Marie Gignac,Normand Daneau,Anne-Marie Cadieux,Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Kristin Scott Thomas,Ron Burrage,Richard Fréchette,François Papineau,Marie Gignac,Normand Daneau,Anne-Marie Cadieux
113419,14/07/1995,The Indian in the Cupboard,Frank Oz,Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat,Steve Coogan,David Keith,Sakina Jaffrey,Vincent Kartheiser,Nestor Serrano,Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat,Steve Coogan,David Keith,Sakina Jaffrey,Vincent Kartheiser,Nestor Serrano
116260,12/01/1996,Eye for an Eye,John Schlesinger,Sally Field,Ed Harris,Olivia Burnette,Alexandra Kyle,Kiefer Sutherland,Joe Mantegna,Beverly D'Angelo,Darrell Larson,Charlayne Woodard,Philip Baker Hall,Sally Field,Ed Harris,Olivia Burnette,Alexandra Kyle,Kiefer Sutherland,Joe Mantegna,Beverly D'Angelo,Darrell Larson,Charlayne Woodard,Philip Baker Hall
113862,29/12/1995,Mr. Holland's Opus,Stephen Herek,Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Terrence Howard,Damon Whitaker,Jean Louisa Kelly,Alexandra Boyd,Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Terrence Howard,Damon Whitaker,Jean Louisa Kelly,Alexandra Boyd
116126,12/01/1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer,Suli McCullough,Darrel Heath,Helen Martin,Isaiah Barnes,Lahmard J. Tate,Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer,Suli McCullough,Darrel Heath,Helen Martin,Isaiah Barnes,Lahmard J. Tate,Keenen Ivory Wayans
118002,12/01/1996,Two If by Sea,Bill Bennett,Denis Leary,Sandra Bullock,Stephen Dillane,Yaphet Kotto,Mike Starr,Jonathan Tucker,Wayne Robson,Michael Badalucco,Lenny Clarke,Jonny Fido,Denis Leary,Sandra Bullock,Stephen Dillane,Yaphet Kotto,Mike Starr,Jonathan Tucker,Wayne Robson,Michael Badalucco,Lenny Clarke,Jonny Fido
115683,12/01/1996,Bio-Dome,Jason Bloom,William Atherton,Denise Dowse,Dara Tomanovich,Kevin West,Kylie Minogue,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Teresa Hill,Patricia Hearst,William Atherton,Denise Dowse,Dara Tomanovich,Kevin West,Kylie Minogue,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Teresa Hill,Patricia Hearst
116839,12/01/1996,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper,Patrick LaBrecque,Crystal Celeste Grant,Sean P. Young,Mathew Valencia,Kevin Conway,Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper,Patrick LaBrecque,Crystal Celeste Grant,Sean P. Young,Mathew Valencia,Kevin Conway
114753,22/10/1995,Two Bits,James Foley,Jerry Barone,Mary Elizabeth Mastrantonio,Al Pacino,Patrick Borriello,Andy Romano,Donna Mitchell,Mary Lou Rosato,Joe Grifasi,Rosemary De Angelis,Ron McLarty,Jerry Barone,Mary Elizabeth Mastrantonio,Al Pacino,Patrick Borriello,Andy Romano,Donna Mitchell,Mary Lou Rosato,Joe Grifasi,Rosemary De Angelis,Ron McLarty
113149,08/02/1995,French Twist,Josiane Balasko,Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel,Catherine Samie,Catherine Lachens,Katrine Boorman,Telsche Boorman,Véronique Barrault,Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel,Catherine Samie,Catherine Lachens,Katrine Boorman,Telsche Boorman,Véronique Barrault
113118,26/04/1995,Friday,F. Gary Gray,Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,John Witherspoon,Anna Maria Horsford,Regina King,Paula Jai Parker,Faizon Love,DJ Pooh,Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,John Witherspoon,Anna Maria Horsford,Regina King,Paula Jai Parker,Faizon Love,DJ Pooh
116367,19/01/1996,From Dusk Till Dawn,Robert Rodriguez,George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson,George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson
